1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-1978.99552,-2130.035363,-2054.25135,-2054.903608,-1979.599331,-1978.933749,-2129.975012,-2054.187082,-2054.843159,-1979.539703,-1978.871233,-2129.916417,-2054.101487,-2054.785068,-1979.481278,,,0.298628,0.295632
-2067.682207,-2218.756915,-2143.0492,-2143.602271,-2068.306221,-2067.712923,-2218.695609,-2142.993509,-2143.5676,-2068.261745,-2067.633997,-2218.637514,-2142.931501,-2143.510152,-2068.203223,,,0.299185,0.297361
-2162.222839,-2313.3483,-2237.569035,-2238.068269,-2162.799981,-2162.240253,-2313.262542,-2237.507613,-2238.13614,-2162.842078,-2162.183584,-2313.172376,-2237.44985,-2238.074745,-2162.792627,,,0.302203,0.298782
-2262.629432,-2413.697173,-2337.987008,-2338.56836,-2263.271506,-2262.708151,-2413.72743,-2337.97781,-2338.596376,-2263.323781,-2262.747308,-2413.66715,-2337.932537,-2338.53639,-2263.262536,,,0.301752,0.301778
-2369.215307,-2520.194561,-2444.46851,-2445.055525,-2369.783487,-2369.266105,-2520.220871,-2444.471979,-2445.089919,-2369.825514,-2369.261213,-2520.226785,-2444.441191,-2445.098194,-2369.820438,,,0.304546,0.30031
-2481.93925,-2632.9293,-2557.132256,-2557.794458,-2482.546533,-2481.992376,-2632.932431,-2557.176999,-2557.804425,-2482.531597,-2481.961335,-2632.930765,-2557.170151,-2557.804232,-2482.526843,,,0.303851,0.300626
-2601.058434,-2751.992561,-2676.201502,-2676.855394,-2601.62782,-2600.989464,-2751.983844,-2676.199244,-2676.849039,-2601.588409,-2600.924129,-2751.975216,-2676.208708,-2676.849091,-2601.576161,,,0.305674,0.29681
-2726.620318,-2877.529752,-2801.70793,-2802.387317,-2727.141604,-2726.547841,-2877.517309,-2801.723807,-2802.380656,-2727.126699,-2726.505567,-2877.453168,-2801.725522,-2802.313594,-2727.061384,,,0.302551,0.296894
-2858.768555,-3009.652906,-2933.870996,-2934.518396,-2859.273572,-2858.648715,-3009.679401,-2933.874946,-2934.542464,-2859.286606,-2858.651473,-3009.612538,-2933.810447,-2934.476925,-2859.220283,,,0.298534,0.29055
-2997.63873,-3148.580036,-3072.760196,-3073.452084,-2998.19128,-2997.58173,-3148.514762,-3072.779135,-3073.386293,-2998.125379,-2997.479647,-3148.430235,-3072.675924,-3073.283685,-2998.018956,,,0.301880444,0.297638111
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
